epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.0315,1.39279,2.55138,1.41483,0.00996,0.74983,0.21505,0.10674,1.54521,3.29854,1.74915,0.000463102,0.000463102,0.000463102
2,118.029,1.37772,2.00673,1.41183,0.41002,0.44053,0.30439,0.17424,1.37404,2.73857,1.64097,0.000930135,0.000930135,0.000930135
3,175.574,1.40308,1.89777,1.41543,0.37481,0.5688,0.37416,0.20344,1.61419,2.5957,1.90665,0.00138774,0.00138774,0.00138774
4,233.186,1.36992,1.7791,1.40361,0.43929,0.42118,0.35753,0.19748,1.47294,3.08821,1.74104,0.00138656,0.00138656,0.00138656
5,294.008,1.40664,1.81381,1.4322,0.18607,0.34424,0.15013,0.08215,1.63716,4.03386,1.86772,0.00137241,0.00137241,0.00137241
6,351.549,1.39591,1.74831,1.41216,0.38716,0.39963,0.36432,0.20873,1.77253,2.41386,1.84198,0.00135826,0.00135826,0.00135826
7,408.085,1.32844,1.67308,1.39172,0.50291,0.55789,0.49325,0.27946,1.53342,1.85589,1.70771,0.00134412,0.00134412,0.00134412
8,464.885,1.30682,1.54881,1.36659,0.45745,0.64177,0.53891,0.31779,1.45772,1.68269,1.66061,0.00132997,0.00132997,0.00132997
9,531.402,1.33151,1.59705,1.3901,0.48524,0.64758,0.54159,0.33994,1.3187,1.60258,1.5198,0.00131582,0.00131582,0.00131582
10,595.486,1.30408,1.49794,1.3674,0.45668,0.5968,0.49809,0.31991,1.24299,1.61778,1.44541,0.00130168,0.00130168,0.00130168
11,652.25,1.28551,1.51427,1.34775,0.45649,0.68009,0.54286,0.33135,1.35921,1.6408,1.56305,0.00128753,0.00128753,0.00128753
12,708.969,1.2636,1.44701,1.33262,0.479,0.73213,0.58186,0.38322,1.20854,1.50096,1.43433,0.00127338,0.00127338,0.00127338
13,765.831,1.24169,1.39074,1.30721,0.54774,0.64343,0.56953,0.35279,1.33365,1.47197,1.51486,0.00125923,0.00125923,0.00125923
14,822.441,1.27115,1.43865,1.3406,0.48971,0.63592,0.50687,0.33035,1.22354,1.47165,1.42404,0.00124509,0.00124509,0.00124509
15,879.251,1.23374,1.4127,1.3146,0.52453,0.67201,0.57133,0.37419,1.21879,1.40041,1.42659,0.00123094,0.00123094,0.00123094
16,936.066,1.19638,1.3414,1.29193,0.49948,0.70356,0.57532,0.35958,1.29024,1.41292,1.46811,0.00121679,0.00121679,0.00121679
17,992.933,1.22635,1.35797,1.30967,0.50842,0.67055,0.55515,0.35215,1.28929,1.41888,1.48685,0.00120265,0.00120265,0.00120265
18,1049.6,1.23785,1.32911,1.32252,0.51804,0.73518,0.59818,0.37119,1.33394,1.37535,1.46407,0.0011885,0.0011885,0.0011885
19,1106.29,1.21023,1.30768,1.28553,0.56874,0.69199,0.59379,0.38432,1.28646,1.27244,1.46674,0.00117435,0.00117435,0.00117435
20,1162.95,1.20386,1.32139,1.30769,0.54452,0.78043,0.60051,0.40708,1.13686,1.24183,1.34819,0.00116021,0.00116021,0.00116021
21,1219.54,1.23137,1.27347,1.30298,0.56083,0.71279,0.58004,0.37904,1.25694,1.32763,1.39969,0.00114606,0.00114606,0.00114606
22,1276.53,1.12394,1.20257,1.24869,0.56952,0.75631,0.62746,0.41822,1.19441,1.22522,1.38246,0.00113191,0.00113191,0.00113191
23,1333.05,1.17446,1.2651,1.28489,0.61091,0.7092,0.61919,0.41639,1.15347,1.24733,1.36312,0.00111776,0.00111776,0.00111776
24,1389.48,1.14139,1.21371,1.25001,0.56988,0.80323,0.61678,0.40457,1.19969,1.18838,1.41278,0.00110362,0.00110362,0.00110362
25,1446.57,1.16518,1.1588,1.24764,0.48315,0.77005,0.58534,0.37346,1.19742,1.23978,1.37392,0.00108947,0.00108947,0.00108947
26,1502.65,1.13816,1.18048,1.2367,0.53202,0.79265,0.63645,0.42209,1.17591,1.1536,1.37501,0.00107532,0.00107532,0.00107532
27,1558.95,1.13908,1.186,1.24152,0.56643,0.80955,0.61274,0.41149,1.10923,1.27948,1.30712,0.00106118,0.00106118,0.00106118
28,1615.18,1.09619,1.12485,1.23133,0.60986,0.79746,0.6437,0.43335,1.12145,1.13138,1.30245,0.00104703,0.00104703,0.00104703
29,1671.25,1.08952,1.11828,1.21666,0.56103,0.76429,0.61318,0.38505,1.28063,1.23806,1.42329,0.00103288,0.00103288,0.00103288
30,1727.48,1.12515,1.16796,1.24389,0.56555,0.71564,0.5906,0.38398,1.16812,1.22581,1.3644,0.00101873,0.00101873,0.00101873
31,1784.02,1.08805,1.08626,1.21265,0.54081,0.68294,0.54379,0.34933,1.31453,1.47282,1.47895,0.00100459,0.00100459,0.00100459
32,1840.6,1.09463,1.09059,1.19989,0.57295,0.73161,0.61771,0.4189,1.0974,1.11681,1.28095,0.00099044,0.00099044,0.00099044
33,1896.75,1.06134,1.07256,1.20284,0.58899,0.78415,0.63388,0.43076,1.12305,1.14611,1.31476,0.000976293,0.000976293,0.000976293
34,1952.75,1.05766,1.11138,1.19952,0.4947,0.57174,0.45774,0.30445,1.10914,1.5132,1.30211,0.000962146,0.000962146,0.000962146
35,2009.01,1.0814,1.07453,1.2092,0.55204,0.73516,0.57364,0.40127,1.09778,1.21718,1.28595,0.000947999,0.000947999,0.000947999
36,2065.45,1.06368,1.10171,1.216,0.56734,0.7472,0.58651,0.39732,1.09866,1.24148,1.28292,0.000933851,0.000933851,0.000933851
